DrugBank ID,Pathways
DB00001,['Lepirudin Action Pathway']
DB00002,['Cetuximab Action Pathway']
DB00003,[]
DB00004,[]
DB00005,[]
DB00006,['Bivalirudin Action Pathway']
DB00007,[]
DB00008,[]
DB00009,['Alteplase Action Pathway']
DB00010,[]
DB00011,[]
DB00012,[]
DB00013,['Urokinase Action Pathway']
DB00014,[]
DB00015,['Reteplase Action Pathway']
DB00016,[]
DB00017,[]
DB00018,[]
DB00019,[]
DB00020,[]
DB00022,[]
DB00023,[]
DB00024,[]
DB00025,[]
DB00026,[]
DB00027,[]
DB00028,[]
DB00029,['Anistreplase Action Pathway']
DB00030,[]
DB00031,['Tenecteplase Action Pathway']
DB00032,[]
DB00033,[]
DB00034,[]
DB00035,[]
DB00036,[]
DB00038,[]
DB00039,[]
DB00040,[]
DB00041,[]
DB00042,[]
DB00043,[]
DB00044,[]
DB00045,[]
DB00046,[]
DB00047,[]
DB00048,[]
DB00049,[]
DB00050,[]
DB00051,[]
DB00052,[]
DB00053,[]
DB00054,['Abciximab Action Pathway']
DB00055,[]
DB00056,[]
DB00057,[]
DB00058,[]
DB00059,[]
DB00060,[]
DB00061,[]
DB00062,[]
DB00063,['Eptifibatide Action Pathway']
DB00065,[]
DB00066,[]
DB00067,[]
DB00068,[]
DB00069,[]
DB00070,[]
DB00071,[]
DB00072,['Trastuzumab Action Pathway']
DB00073,[]
DB00074,[]
DB00075,[]
DB00076,[]
DB00078,[]
DB00080,[]
DB00081,[]
DB00082,[]
DB00083,[]
DB00085,[]
DB00086,['Streptokinase Action Pathway']
DB00087,[]
DB00088,[]
DB00089,[]
DB00090,[]
DB00091,[]
DB00092,[]
DB00093,[]
DB00094,[]
DB00095,[]
DB00097,[]
DB00098,[]
DB00099,[]
DB00100,[]
DB00102,[]
DB00103,[]
DB00104,[]
DB00105,[]
DB00106,[]
DB00107,[]
DB00108,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Bivalirudin Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Urokinase Action Pathway']
,[]
,['Alteplase Action Pathway']
,[]
,['Eptifibatide Action Pathway']
,[]
,[]
,['Abciximab Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Cetuximab Action Pathway']
,[]
,[]
,[]
,[]
,[]
,['Trastuzumab Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Tenecteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Tenecteplase Action Pathway']
,[]
,[]
,[]
,['Cetuximab Action Pathway']
,[]
,[]
,[]
,[]
,['Eptifibatide Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Bivalirudin Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Eptifibatide Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Lepirudin Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Eptifibatide Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Anistreplase Action Pathway']
,[]
,[]
,[]
,[]
,['Bivalirudin Action Pathway']
,[]
,[]
,[]
,[]
,['Alteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Anistreplase Action Pathway']
,[]
,[]
,['Abciximab Action Pathway']
,[]
,[]
,['Tenecteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Reteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Streptokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Lepirudin Action Pathway']
,['Urokinase Action Pathway']
,[]
,['Anistreplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,['Streptokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Tenecteplase Action Pathway']
,[]
,[]
,[]
,['Anistreplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Cetuximab Action Pathway']
,['Streptokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,['Trastuzumab Action Pathway']
,[]
,[]
,['Streptokinase Action Pathway']
,[]
,['Tenecteplase Action Pathway']
,[]
,[]
,['Reteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Bivalirudin Action Pathway']
,[]
,[]
,[]
,[]
,['Eptifibatide Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Anistreplase Action Pathway']
,[]
,[]
,[]
,['Tenecteplase Action Pathway']
,[]
,['Urokinase Action Pathway']
,[]
,[]
,[]
,[]
,['Cetuximab Action Pathway']
,[]
,[]
,['Trastuzumab Action Pathway']
,['Cetuximab Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Reteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Alteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Urokinase Action Pathway']
,[]
,[]
,[]
,['Cetuximab Action Pathway']
,[]
,['Anistreplase Action Pathway']
,['Streptokinase Action Pathway']
,[]
,['Anistreplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Reteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Urokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,['Bivalirudin Action Pathway']
,[]
,['Alteplase Action Pathway']
,['Abciximab Action Pathway']
,['Urokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Anistreplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Trastuzumab Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Lepirudin Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Lepirudin Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Anistreplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Abciximab Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Tenecteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,['Cetuximab Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,['Tenecteplase Action Pathway']
,[]
,['Tenecteplase Action Pathway']
,[]
,[]
,[]
,['Lepirudin Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Abciximab Action Pathway']
,[]
,['Abciximab Action Pathway']
,[]
,[]
,['Tenecteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,['Anistreplase Action Pathway']
,[]
,[]
,[]
,['Abciximab Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,['Urokinase Action Pathway']
,[]
,['Eptifibatide Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Lepirudin Action Pathway']
,[]
,['Streptokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Alteplase Action Pathway']
,['Anistreplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Reteplase Action Pathway']
,[]
,['Bivalirudin Action Pathway']
,[]
,[]
,['Tenecteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Streptokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Cetuximab Action Pathway']
,[]
,[]
,[]
,['Alteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Anistreplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Bivalirudin Action Pathway']
,[]
,[]
,['Lepirudin Action Pathway']
,[]
,[]
,[]
,['Urokinase Action Pathway']
,['Streptokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,['Bivalirudin Action Pathway']
,[]
,[]
,[]
,[]
,[]
,['Urokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Lepirudin Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Trastuzumab Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Urokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Streptokinase Action Pathway']
,[]
,[]
,[]
,[]
,['Reteplase Action Pathway']
,[]
,['Eptifibatide Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,['Abciximab Action Pathway']
,[]
,['Abciximab Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Streptokinase Action Pathway']
,[]
,['Bivalirudin Action Pathway']
,[]
,[]
,[]
,['Tenecteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Eptifibatide Action Pathway']
,[]
,[]
,['Lepirudin Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Bivalirudin Action Pathway']
,['Urokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,['Alteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Reteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Alteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Trastuzumab Action Pathway']
,[]
,[]
,['Alteplase Action Pathway']
,[]
,[]
,['Urokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Trastuzumab Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Urokinase Action Pathway']
,[]
,[]
,[]
,['Trastuzumab Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Tenecteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Trastuzumab Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Abciximab Action Pathway']
,[]
,[]
,['Abciximab Action Pathway']
,['Streptokinase Action Pathway']
,['Tenecteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Lepirudin Action Pathway']
,['Tenecteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Cetuximab Action Pathway']
,[]
,[]
,[]
,['Anistreplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Tenecteplase Action Pathway']
,[]
,[]
,[]
,[]
,['Streptokinase Action Pathway']
,[]
,[]
,[]
,['Streptokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,['Bivalirudin Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Alteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Bivalirudin Action Pathway']
,['Anistreplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,['Urokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Urokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,['Urokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Eptifibatide Action Pathway']
,[]
,[]
,[]
,['Lepirudin Action Pathway']
,[]
,[]
,['Abciximab Action Pathway']
,[]
,[]
,[]
,[]
,['Tenecteplase Action Pathway']
,[]
,[]
,[]
,['Eptifibatide Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Lepirudin Action Pathway']
,['Eptifibatide Action Pathway']
,[]
,[]
,['Abciximab Action Pathway']
,[]
,['Streptokinase Action Pathway']
,[]
,[]
,[]
,['Streptokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Eptifibatide Action Pathway']
,['Anistreplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,['Streptokinase Action Pathway']
,[]
,['Trastuzumab Action Pathway']
,['Urokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Cetuximab Action Pathway']
,['Anistreplase Action Pathway']
,[]
,['Cetuximab Action Pathway']
,[]
,[]
,[]
,[]
,['Trastuzumab Action Pathway']
,[]
,[]
,[]
,[]
,[]
,['Eptifibatide Action Pathway']
,[]
,[]
,[]
,[]
,['Urokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Tenecteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Lepirudin Action Pathway']
,[]
,[]
,[]
,[]
,['Tenecteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,['Bivalirudin Action Pathway']
,['Abciximab Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Anistreplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Tenecteplase Action Pathway']
,[]
,['Bivalirudin Action Pathway']
,[]
,[]
,[]
,['Streptokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Trastuzumab Action Pathway']
,[]
,['Tenecteplase Action Pathway']
,[]
,[]
,[]
,[]
,['Eptifibatide Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Eptifibatide Action Pathway']
,[]
,[]
,[]
,['Cetuximab Action Pathway']
,[]
,['Streptokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,['Bivalirudin Action Pathway']
,[]
,['Bivalirudin Action Pathway']
,['Alteplase Action Pathway']
,[]
,['Alteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Cetuximab Action Pathway']
,[]
,[]
,['Bivalirudin Action Pathway']
,[]
,[]
,['Trastuzumab Action Pathway']
,[]
,[]
,[]
,[]
,['Cetuximab Action Pathway']
,[]
,[]
,[]
,[]
,[]
,['Streptokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Bivalirudin Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Tenecteplase Action Pathway']
,[]
,['Eptifibatide Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Alteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Trastuzumab Action Pathway']
,[]
,[]
,['Abciximab Action Pathway']
,['Tenecteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Streptokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Bivalirudin Action Pathway']
,[]
,[]
,['Lepirudin Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Trastuzumab Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Lepirudin Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Streptokinase Action Pathway']
,[]
,[]
,[]
,[]
,['Eptifibatide Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Cetuximab Action Pathway']
,[]
,['Eptifibatide Action Pathway']
,[]
,[]
,['Lepirudin Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,['Eptifibatide Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Alteplase Action Pathway']
,['Lepirudin Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Eptifibatide Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Trastuzumab Action Pathway']
,[]
,[]
,['Lepirudin Action Pathway']
,[]
,[]
,[]
,[]
,[]
,['Bivalirudin Action Pathway']
,[]
,[]
,[]
,[]
,['Streptokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,['Tenecteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Tenecteplase Action Pathway']
,[]
,[]
,['Urokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,['Abciximab Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Alteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,['Trastuzumab Action Pathway']
,[]
,[]
,[]
,['Reteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,['Lepirudin Action Pathway']
,['Alteplase Action Pathway']
,['Lepirudin Action Pathway']
,[]
,[]
,[]
,[]
,[]
,['Bivalirudin Action Pathway']
,['Bivalirudin Action Pathway']
,['Trastuzumab Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Eptifibatide Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,['Lepirudin Action Pathway']
,['Abciximab Action Pathway']
,[]
,[]
,[]
,[]
,['Cetuximab Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Bivalirudin Action Pathway']
,[]
,[]
,[]
,[]
,[]
,['Reteplase Action Pathway']
,['Abciximab Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Tenecteplase Action Pathway']
,['Alteplase Action Pathway']
,[]
,['Alteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Lepirudin Action Pathway']
,[]
,['Alteplase Action Pathway']
,['Abciximab Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Trastuzumab Action Pathway']
,['Eptifibatide Action Pathway']
,['Alteplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,['Reteplase Action Pathway']
,[]
,['Eptifibatide Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Anistreplase Action Pathway']
,['Streptokinase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Trastuzumab Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Anistreplase Action Pathway']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
